name,Logistic_Regression_MCC_std,Logistic_Regression_AUC-ROC_std,Logistic_Regression_F1_std,SVM_MCC_std,SVM_AUC-ROC_std,SVM_F1_std,KNN_MCC_std,KNN_AUC-ROC_std,KNN_F1_std,Random_Forest_MCC_std,Random_Forest_AUC-ROC_std,Random_Forest_F1_std,XGBoost_MCC_std,XGBoost_AUC-ROC_std,XGBoost_F1_std
afp_antifp,0.0165036676046487,0.0078124258577301,0.0098143806467741,0.015157841994966,0.0076851273697101,0.0093662773271987,0.0407029593818675,0.0221881016727974,0.0151804404174455,0.0220582260927362,0.0109533989682248,0.0117577484363455,0.0337518790266903,0.0167718259373547,0.0180602996686831
aip_aippred,0.0383646452911954,0.0184073210538617,0.0258440373153979,0.0583477890616222,0.0239566640747481,0.0390625938587138,0.0536847539983827,0.0254499472210661,0.0466808566250823,0.0350471392055997,0.0180796089563661,0.0382867309764337,0.062243888558115,0.0292717821206881,0.0428062668058807
aip_antiinflam,0.0328138019788114,0.0163434332541751,0.0217318800390062,0.033407550526623,0.0173460197434034,0.0324447530135622,0.029610801802155,0.014640442103227,0.0213422349265814,0.0096999435902911,0.0057825534807083,0.0161656920962627,0.0265431045343101,0.0133891287592022,0.0210769996993678
amp_antibp,0.0387293537635982,0.0193017349474547,0.0196424959995632,0.0390245635299644,0.0201739612539772,0.0219104359086653,0.0319536310856073,0.0149108269744113,0.0132676085737336,0.0605272972050503,0.0299470920344918,0.0296315053739411,0.0787012433896496,0.0396623680005896,0.0417251520798846
amp_antibp2,0.0246536712310487,0.012126918602972,0.0136561863548775,0.0224749427679104,0.0118693816008829,0.0141306415454396,0.0789931803327224,0.0409472286671914,0.0226456892490046,0.0144577511110383,0.007313892614428,0.0077419144780482,0.0182337344179588,0.0093530799259196,0.0105450252360982
amp_csamp,0.043414752342977,0.0226074030918239,0.0143074837538114,0.0795496084683336,0.0420178807309184,0.0261510118873285,0.0,0.0,0.0072382303828512,0.0895721026968524,0.051167341256981,0.0283969549961896,0.101416921839987,0.0536591134871191,0.0370508791239152
amp_fernandes,0.1484076567178579,0.07194469888423,0.0815153307262531,0.1221437085068162,0.0603279910044644,0.0604842542815172,0.0974465817099592,0.0463838875942432,0.0308935588590647,0.1840725551553521,0.0913848276546924,0.0811935020296808,0.1420933801463692,0.070115014882044,0.0761059686391801
amp_gonzales,0.1610769848115777,0.1184901232046458,0.1750012753754158,0.1588419686530815,0.122209440683976,0.169744582065219,0.0940987771372537,0.1023100529702507,0.1186722512703149,0.1738734573270927,0.1222020185321557,0.1854959131697331,0.1672388795096262,0.0898505940531318,0.1392304706841938
amp_iamp2l,0.0197103753472271,0.0098109110254021,0.0129061145596942,0.0229983128493815,0.0162352805739165,0.0180051234114023,0.0335873189989814,0.0074534311607376,0.0051101002018007,0.027345861279795,0.0204644076349188,0.0229295476232744,0.0191561212038571,0.0086098330121024,0.0126493832388499
amp_modlamp,0.0095700552403358,0.0049586121595706,0.0054414853374008,0.013965012376097,0.0068971177574699,0.0073104129382965,0.0203610302888469,0.0110702940094953,0.0094425109900366,0.0189504527848454,0.0091374578283681,0.0093947043456148,0.0222306695974062,0.0110231898974168,0.0114778779109014
anitinflamatory,0.0095072928698385,0.005026137161393,0.0108253242883817,0.0260395391746686,0.0137159292340013,0.0290294375458469,0.0205478550807653,0.010483732144195,0.0147426922496799,0.0214903092850363,0.0115849047546766,0.0226908529808318,0.0277721453060558,0.0142013753058801,0.02642893499888
anti_MRSA,0.0626351536038775,0.0237192976618731,0.0510040980469411,0.0465319201416753,0.0229726000760818,0.0479215533969462,0.139547783583859,0.0551607689734186,0.1103220909769641,0.0670533133693756,0.0367940858087822,0.083049372355392,0.0370249365105923,0.0406335504230941,0.0485703152462453
antibacterial,0.0036307207532944,0.0018125164889422,0.0015478335984002,0.0055279175486546,0.0028787549583078,0.003227856040303,0.0098824028656846,0.0045669282341182,0.0044019531953158,0.0038925781166452,0.001839452877964,0.0018874352544522,0.0051701166866583,0.002603257796602,0.0027077426019225
anticancer_alternative,0.0234823911708906,0.0116408142171507,0.0107304596397871,0.0164667682318075,0.0087172858377772,0.0102635609016565,0.0334355779845257,0.0176014134834678,0.0158723843542679,0.0137144136926357,0.0068384016295987,0.0071701119560217,0.0194430429059978,0.0094204468466479,0.0088841686649511
anticancer_main,0.0511394950233293,0.0255181837794598,0.025628773871536,0.0193296370207566,0.0095924320745938,0.0094505631688124,0.0178090252289627,0.0083050677375546,0.0139464856639262,0.0207314382170149,0.0100158210183989,0.0095516241572417,0.0306722839871773,0.0153737431836113,0.0161913283070995
antidiabetic,0.0429757293534273,0.0217776766978024,0.0292476267033211,0.0457986383016313,0.0222372872517916,0.0337962218402687,0.0413931504018576,0.0205941071091552,0.0501180418229169,0.0896334729284172,0.0448377841079157,0.0526095184201601,0.0753092666079972,0.0369978365578892,0.0410730404638138
antifungal,0.034761392720925,0.0172718793245845,0.0173472667433046,0.0427972555214619,0.0220812535031646,0.0237660792455021,0.0673778579712585,0.034151299320143,0.0316528551947814,0.0251707180599397,0.0124633188171777,0.0128367412200648,0.0375328221076533,0.0188221287414998,0.0192268784387196
