name,Logistic_Regression_MCC_mean,Logistic_Regression_MCC_std,Logistic_Regression_AUC-ROC_mean,Logistic_Regression_AUC-ROC_std,Logistic_Regression_F1_mean,Logistic_Regression_F1_std,SVM_MCC_mean,SVM_MCC_std,SVM_AUC-ROC_mean,SVM_AUC-ROC_std,SVM_F1_mean,SVM_F1_std,KNN_MCC_mean,KNN_MCC_std,KNN_AUC-ROC_mean,KNN_AUC-ROC_std,KNN_F1_mean,KNN_F1_std,Random_Forest_MCC_mean,Random_Forest_MCC_std,Random_Forest_AUC-ROC_mean,Random_Forest_AUC-ROC_std,Random_Forest_F1_mean,Random_Forest_F1_std,XGBoost_MCC_mean,XGBoost_MCC_std,XGBoost_AUC-ROC_mean,XGBoost_AUC-ROC_std,XGBoost_F1_mean,XGBoost_F1_std
antioxidant_UniDL4BioPep,0.4671444837091173,0.0471180183232334,0.7329897891346637,0.0235969390202587,0.7212676578519275,0.0244587028000689,0.489206308542294,0.0349481050661894,0.738570959084288,0.0151665743905982,0.7069104185017543,0.0144070370473885,0.3639153381467083,0.0458247793043175,0.6783119673531448,0.0215224558390433,0.6431085722050534,0.0239100053343523,0.4886130880271782,0.0907102568201967,0.7437220522610082,0.0450661909389052,0.7331741523294542,0.0440000688319249,0.4785112847482167,0.0353527948064775,0.7386762632180753,0.0172470365924896,0.7274508566619365,0.014938989897399
antiparasitic,0.5011343049206488,0.0195249702434978,0.7460517691973685,0.0205774932205239,0.6158421327151551,0.0225816080346607,0.5187273789611601,0.0576555953515129,0.7078411613865199,0.02841665383624,0.5754697625170093,0.0548416259366463,0.0826543227142833,0.0303944426401656,0.5178513202415186,0.0093928164605443,0.3959365897669899,0.004895932097514,0.5116437781076287,0.0836777583715697,0.7162545776292182,0.0401787541004794,0.5859524321139775,0.0741250808211338,0.5107065280806599,0.070743321226968,0.7457125945224108,0.0369774556884267,0.6193591053182275,0.0585611794766075
antiviral,0.4624012927007024,0.0194850471499368,0.7309801000196343,0.0097497175577127,0.7279812274842241,0.0119712540402821,0.5676970625219813,0.0208464434284874,0.7744563020454361,0.0105351354958299,0.7415278425412659,0.0135939236896892,0.3469271599802564,0.0113857175896398,0.6727235716018155,0.0058143079422511,0.6865948011823793,0.0052647626786433,0.5865552426562249,0.0371873135525853,0.7878737742974948,0.0181980981466616,0.7660796505591565,0.0206903808819076,0.5207876322793006,0.01934094176732,0.7593421918852431,0.0097483928316646,0.7481317184343447,0.011066053144101
anti_MRSA,0.6753841902636146,0.0626351536038775,0.7858643494124848,0.0237192976618731,0.6999205342514363,0.0510040980469411,0.6309474179894983,0.0465319201416753,0.7226266748282664,0.0229726000760818,0.6134299808718413,0.0479215533969462,0.4489436284014101,0.139547783583859,0.7064393421110537,0.0551607689734186,0.522311070927217,0.1103220909769641,0.4967360144798723,0.0670533133693756,0.6473257958559878,0.0367940858087822,0.4487426603705673,0.083049372355392,0.6317105572972102,0.0370249365105923,0.7551746942400711,0.0406335504230941,0.645868709199586,0.0485703152462453
atb_antitbp,0.5451036763636294,0.0525569469628564,0.7723265306122449,0.0264099611412099,0.7703974567579994,0.0267439454277085,0.5888508989744299,0.0118973918612745,0.780408163265306,0.0044879402473154,0.7414193102715341,0.0088936799729171,0.5010857340918711,0.0793211426917612,0.7315918367346939,0.0381728461181245,0.6675420531649984,0.0524366647934479,0.5586591874832909,0.053767527105196,0.7785714285714287,0.0270763340094307,0.7703992103531476,0.0294238634407954,0.5294560895890903,0.0568997683310208,0.7641224489795919,0.0285225237432287,0.7601281748971054,0.0295702748191289
atb_iantitb,0.3472664375082908,0.0566626573611758,0.6726530612244899,0.0283522203099062,0.6683271519513292,0.0442583593083387,0.4753890768186204,0.0747187557569542,0.7277551020408163,0.0361377806734631,0.685694999910443,0.0544149500240346,0.4036465718949345,0.0579877353859781,0.6789387755102041,0.0241966812515719,0.5837094017094018,0.0332665383800415,0.4899079128449372,0.0656914390543311,0.7438775510204081,0.0327920511289369,0.7389896398725633,0.0423910167515645,0.4126749201124856,0.0592274763367766,0.7054285714285713,0.0299869748206138,0.7007991608877486,0.0292757710079347
avp_amppred,0.4917967183317141,0.0438441389312371,0.7458402728907655,0.0219053122985307,0.7428689994742058,0.0222758621442044,0.5590329677934027,0.0560789785610272,0.7773900078826188,0.027036513342459,0.7627312139440953,0.0268857586615426,0.3142114184924077,0.0724354241214729,0.6554793894880102,0.036831692652885,0.6686364870654261,0.0271084680635664,0.568613739976145,0.0375407944412129,0.783081340488976,0.0198469248416634,0.7723232168994814,0.0266522256315874,0.5254486821737192,0.051881568187185,0.7619668613018366,0.0268451135190332,0.752100373062056,0.0345999415506519
avp_avppred,0.4352062340781337,0.0583077892300309,0.716107491685813,0.0282883891251458,0.7605249546432614,0.0275620423346159,0.5405042208740568,0.0812886599767492,0.7698534919585811,0.0408970228792546,0.804357356623821,0.0340605962826923,0.2783971586252257,0.0594795822144502,0.6379453991334362,0.0286923650777071,0.6193231853161933,0.0240473192378515,0.5435280651200203,0.0525612407497494,0.7701288305584406,0.0254484594623843,0.8077106336168821,0.023898329119572,0.4670472461996144,0.0315572528649477,0.7339251618250296,0.0156680299466936,0.7687751801458598,0.016564794272377
bce_ibce,0.227953326783651,0.0350487600448176,0.6119584754740355,0.0175606626928589,0.5462051115013333,0.0234189936829382,0.1775025244927497,0.0433315828001979,0.5824313069031778,0.0212858041472889,0.4683398463300346,0.0358305954431638,0.0446594726319533,0.0281572793796488,0.5223313871909314,0.0140458113522043,0.4675013733529444,0.014447609965896,0.2070568311187995,0.0460045505672177,0.5972215116608242,0.0231430215109105,0.4955931492708931,0.0387546157957376,0.1843713144149613,0.0468904733222349,0.5901292789723167,0.0234043951314579,0.515329756119267,0.0322885445667915
bitter,0.5712571603191611,0.0863938656617064,0.784375,0.0432448515721813,0.7785586330439577,0.049956570273196,0.5772175471693726,0.0595364468965471,0.7875,0.0306186217847897,0.7802201035781545,0.0384038587729878,0.4274535404541701,0.0714343312198017,0.703125,0.0352862180957381,0.7425399119875478,0.0300346617515489,0.6016406987804326,0.0630978624897425,0.7984375,0.0302173118840839,0.8048238942724707,0.0321099949680941,0.6159571157553987,0.0643181317492472,0.80625,0.0325510416499994,0.8078200838423065,0.0361888131983695
blood_brain_barrier,0.491192423034663,0.1573553688108321,0.7436594202898551,0.0784296857443987,0.7460599065986799,0.0869610655360387,0.437781932011377,0.1290580216174639,0.7184782608695653,0.0646650320699742,0.7211745045844424,0.067969484929918,0.0828266167799033,0.1152167619377665,0.5255434782608696,0.0339759651015077,0.6670766914245176,0.019766079902497,0.4652977962450395,0.1138268533336516,0.7309782608695652,0.0567668181653021,0.7262501942501942,0.0678545530821229,0.4322230545663014,0.1198529661363813,0.7139492753623188,0.0596490603192993,0.730217130387343,0.0526127356342644
cpp_cellppd,0.6792820340677552,0.0310041560180466,0.8395291772103366,0.0155866538540352,0.8392542730867923,0.0173644693609858,0.7532866953229821,0.0494828257299104,0.8724024231270608,0.0251217285182653,0.8619485612466675,0.0281370619065807,0.4388244174825268,0.0299038974758378,0.7112989801395597,0.0167222437506268,0.7442623212322241,0.011256914125085,0.7366934930247611,0.0440932728677114,0.8680507629782992,0.0219599249475529,0.8667021955489338,0.0217009092120379,0.71295566037159,0.047888500634123,0.8562725251131049,0.0238328396650001,0.8545896656272708,0.0234743075258357
