name,ot_M.ot_C.0.5.100,ot_M.masked_length_awarded_C.0.5.100,ot_M.dtw_C.0.5.100,masked_length_awarded_M.ot_C.0.5.100,masked_length_awarded_M.masked_length_awarded_C.0.5.100,masked_length_awarded_M.dtw_C.0.5.100,dtw_M.ot_C.0.5.100,dtw_M.masked_length_awarded_C.0.5.100,dtw_M.dtw_C.0.5.100
antiviral,0.1005982845797595,0.09082811602003013,0.1025689433368927,0.08455018236250166,0.07390363374748127,0.08697989907704311,0.09954924711597372,0.09045420417918296,0.10106228074538272
atb_antitbp,0.1530240717382804,0.13625038093018257,0.15987943588599982,0.1305654549974802,0.1121514262377284,0.138240967036844,0.14065016153190735,0.12476657576896849,0.14698313415926065
atb_iantitb,0.13769433726753896,0.12395726909910543,0.13656880781506334,0.12314944517522114,0.10784324678651785,0.12240281630569173,0.12419638442714774,0.1113211693070924,0.12279395330015247
avp_amppred,0.17029822023983893,0.18600544734137395,0.17262817323545487,0.22368701314220826,0.2395441848486011,0.2262185930887785,0.12644606535199146,0.1421326455725005,0.12869735190993747
avp_avppred,0.16882958349057262,0.1773279364500353,0.1718502229779129,0.16302534084045045,0.17201782129988327,0.1657643385123992,0.09865001025728726,0.10697351245246023,0.10174425482071245
bce_ibce,0.18335354922034353,0.20714952686622196,0.23777409164949972,0.24409447872994075,0.2678464738693405,0.2986361856232787,0.159034839492296,0.18286033887302272,0.2134483393368521
bitter,0.12159575118439105,0.11090903709764768,0.11709016645892803,0.12777046292564637,0.1157021397303841,0.1218669315387581,0.09396810732753645,0.08379263596332814,0.08987996556133511
blood_brain_barrier,0.19381551967164196,0.20361889221706933,0.22311758283206248,0.17393217424799345,0.18391573358259042,0.20727125114138045,0.22431858592368287,0.2336862439614528,0.2509470182057005
cpp_cellppd,0.16062114231407967,0.16629056285319224,0.18952654422013848,0.15363207932016162,0.15950351224093182,0.1826657924713749,0.16397541377840896,0.1694226948264303,0.19284882637885936
cpp_cellppdmod,0.19052524729678572,0.19247742295015088,0.1971663394372051,0.17846500568669205,0.18078538300097916,0.18513036656938003,0.17202938639011994,0.17369730200144815,0.17884513742924438
cpp_cppredfl,0.19357441512150683,0.19345376618752927,0.20896416699735135,0.17007430799556494,0.1697534243516861,0.18625094769109748,0.1598326107705518,0.1597780743166295,0.17481200646404457
cpp_kelmcpp,0.19691092034230911,0.2064126484426836,0.20424182509185967,0.23869803891473787,0.24870870376985296,0.24659298038837257,0.16556778595172003,0.17494252175931452,0.17275015065809743
cpp_mlcpp,0.18602821393785174,0.19653556844523826,0.2122172686198421,0.18643662935771893,0.19741531339819998,0.21326772411359868,0.19783830946113196,0.20801326442059673,0.2237818055815996
cpp_mlcppue,0.1708914150583015,0.17627026990711925,0.17364185906954369,0.1870294653879454,0.19299323757465947,0.18988285821702,0.1524111822999256,0.15752187263229347,0.1550828170164966
cpp_sanders,0.2396902361125064,0.2517214251451586,0.2505576230661243,0.2262389223265453,0.23973729768163188,0.23711699031502562,0.2192195027997827,0.23046002116272346,0.22993835391881787
hem_hemopi,0.11306367178067774,0.10595152815434417,0.11451114804743874,0.10742451209577918,0.10003242889614263,0.10910069433007963,0.1078785345828317,0.1009805993296304,0.10909702785242166
hiv_apv,0.16223032637616774,0.15909362609562694,0.13868735268540394,0.17948923174642617,0.17646879737191523,0.15554508313250742,0.2499293408635876,0.24833324944095292,0.17934918227805136
hiv_bevirimat,0.2701983470622727,0.29874787383852697,0.2872238870325076,0.30969632106849465,0.3371030749660842,0.3262729993509989,0.3055964563356843,0.3352597588103198,0.321624593297608
hiv_idv,0.1592571029497486,0.15691122796770252,0.14661606995343773,0.17597169231413493,0.17372121380737712,0.16335952712296614,0.27973694223108225,0.27862254422483573,0.2179084527783786
hiv_lpv,0.17040893155387304,0.16730839180613016,0.14725822816017958,0.1879791115080061,0.1849759515718734,0.1642663434715332,0.25730375602506417,0.2560773841048399,0.1828076726473433
hiv_nfv,0.159922489130722,0.1568569314576314,0.13746150572104818,0.17564556163034406,0.17267897344240873,0.15323513633547528,0.23580276098398742,0.23414467503797873,0.16497500494330516
hiv_protease,0.24084025332762088,0.24690252366410775,0.25251994574092557,0.32533860605841286,0.331401520518536,0.337020231736617,0.3109709284935157,0.3170422928185755,0.32263752921134436
hiv_rtv,0.16226791041389815,0.1593368012051982,0.1390556633484321,0.1789956909585673,0.1761812787481974,0.15575080460539867,0.24467682978327238,0.24325071857571007,0.17198655824779183
hiv_sqv,0.1588986467085505,0.15606601507000012,0.1390394133529156,0.17644066522995014,0.17372597772522375,0.1564784185747673,0.2466041067742975,0.24518857523760937,0.17926131116661606
hiv_v3,0.28158983139009913,0.31626903292982494,0.2725084428642804,0.31236730854120975,0.34697697001034955,0.3033955014049905,0.26591331228031123,0.3024343781250993,0.25271358732248883
isp_il10pred,0.1828398431253379,0.19414971593784422,0.18391783383517163,0.24865625191371138,0.25995224013953755,0.24988604048365964,0.19888525936413437,0.21022247981836767,0.19991797904644884
nep_neuropipred,0.1506262980327076,0.13760246856323127,0.17404259723263693,0.11987017455697446,0.10333235585444032,0.1494921034460625,0.17473147443394713,0.16440995779028666,0.19383698612219957
neuropeptide,0.11426244952395163,0.09706272067483493,0.1226191785070983,0.08832810126939417,0.06867193445351719,0.09910423939267735,0.11573242769995098,0.10053147287232479,0.12237164966112968
pip_pipel,0.19894133713768825,0.20194983996600685,0.2049952305309171,0.25613730106329813,0.2591629040015468,0.26231071237070824,0.2403961301279009,0.24342844508980013,0.24644786054993864
quorum_sensing,0.22341776904657526,0.2255598549724383,0.27773501482809915,0.15734280542357562,0.1597102907182257,0.2121122534555449,0.2405706551334589,0.2423198079312167,0.2944890109762959
tce_zhao,0.2943327756665568,0.304826939434945,0.30108206965253453,0.3567368656322849,0.36723551917892305,0.36347461443918383,0.3469145921484728,0.3574309249680687,0.35367032246665386
toxic,0.23094223602157277,0.24918345744123804,0.2413234423556999,0.24258439232077406,0.26285167835734335,0.25373755761073624,0.27935410958389795,0.29652545064899344,0.2893876404623869
toxic_PLPTP,0.22385597056377274,0.2463306914765196,0.22921836815071595,0.2249208641018777,0.2505231718080339,0.23104881026328308,0.24386491067251503,0.2646777745245698,0.2488821576765085
tumor_t_cell_antigens,0.15654125386009207,0.2388711931889694,0.17726525280623834,0.22385033706885824,0.30615248733690864,0.2446317160344981,0.1174186005544544,0.1997710684119008,0.13813369736299608
umami,0.1338731939598633,0.12147496738634062,0.16941294015313646,0.1590702416547534,0.14474364893841737,0.19344632293393105,0.10751310181261192,0.09597796419523075,0.14337966523064935
