name,Logistic_Regression_MCC_mean,Logistic_Regression_AUC-ROC_mean,Logistic_Regression_F1_mean,SVM_MCC_mean,SVM_AUC-ROC_mean,SVM_F1_mean,KNN_MCC_mean,KNN_AUC-ROC_mean,KNN_F1_mean,Random_Forest_MCC_mean,Random_Forest_AUC-ROC_mean,Random_Forest_F1_mean,XGBoost_MCC_mean,XGBoost_AUC-ROC_mean,XGBoost_F1_mean
hiv_idv,0.8035869170548906,0.9008282499310726,0.9025877629012354,0.8407458205326132,0.9196387584190004,0.9218511244763152,0.8237755944249734,0.9118704089369412,0.9130408096031432,0.8148745492766121,0.9070565377722636,0.9091951842860468,0.8155010734034036,0.9069099807003032,0.9094998425033536
hiv_lpv,0.8165894158635219,0.9071630898633186,0.8978364884543375,0.828307236099832,0.909731241539022,0.9005719070318925,0.8035676733643076,0.8965022230468456,0.8852299295108574,0.8218150801573534,0.9090725737178827,0.899694870105829,0.8412144104037402,0.9191385435779028,0.9113883028264052
hiv_nfv,0.8442653343689042,0.9253336482741245,0.9034805893630052,0.814198545071975,0.9072520156210632,0.8846875765286264,0.7983595782045327,0.901313744016125,0.8748252907408902,0.7717386985197552,0.8890946082136558,0.8602481365310769,0.836660035659097,0.9181902872260016,0.8989697685826717
hiv_protease,0.309198622480872,0.6393393515506398,0.394737539097972,0.0272446725039492,0.5027044025157232,0.0129032258064516,0.2270077340071798,0.5604322543916721,0.2250665124349334,0.1258597657666717,0.5149026783777922,0.0637365591397849,0.2063122503743912,0.5592638527434396,0.2249365049365049
hiv_rtv,0.8877459925142495,0.943900809885614,0.9418460782646486,0.881346743120017,0.9406478157208724,0.9383959065500648,0.8654722920364637,0.9321440167728888,0.929147625076144,0.8490890571627034,0.923630940784652,0.9197802294759212,0.865144318937884,0.9320855714192944,0.92919040758453
hiv_sqv,0.7878240208916004,0.8933043035395976,0.9156556267209024,0.7536527697024257,0.8804721161191749,0.8952324558341008,0.717697584469954,0.8619139292080469,0.8829921911626105,0.7486147526284335,0.8778884644766997,0.8944653621176931,0.7573482699774051,0.8789539088362618,0.902231711785446
hiv_v3,0.8356449230357118,0.90957086391869,0.8578329256949946,0.8598207382938907,0.9176124600037644,0.8785717454019885,0.8525930409442101,0.9105510069640506,0.8718548295130575,0.8358529726621153,0.8959820252211557,0.8558471224169161,0.852347740742891,0.9084820252211556,0.871196487930446
isp_il10pred,0.3648834599278728,0.6813426768355457,0.5649967225455589,0.3299376623444615,0.6174859340785224,0.4099579515694394,0.3008794121098841,0.6384089904406074,0.4869408159029997,0.2438427178283705,0.5745176758442122,0.2965410242717378,0.3120861578801054,0.6287219287385392,0.4532274578718701
nep_neuropipred,0.69105183221041,0.845142857142857,0.8460436226992252,0.7239429212486372,0.8611428571428572,0.8565840585182294,0.5614426127511374,0.768,0.7978508567172549,0.6730998780971527,0.8354285714285716,0.8295180222236798,0.6747350433538959,0.8371428571428572,0.8352186533271599
neuropeptide,0.6399243236652423,0.8197938144329898,0.8220135252375584,0.6960939748740136,0.8478350515463917,0.8498327511650461,0.6157377027812648,0.8032989690721649,0.818812134985396,0.6476364815866973,0.8237113402061855,0.8222866511945224,0.6575597605721326,0.8286597938144329,0.8307803894467438
pip_pipel,0.1646112722740765,0.5806615684294062,0.3718748516854233,0.1334819045132785,0.517893741907236,0.077162905835759,0.1457391506587796,0.5553858327061449,0.2788712367363301,0.1255244780196613,0.5211069146261142,0.1024970771125989,0.1656830492430137,0.552236167050159,0.2427416373612303
quorum_sensing,0.7487253328674736,0.8727599919460385,0.8735514649961658,0.8050398548279114,0.8999244941105407,0.9053846353125786,0.7838633592938933,0.891269002315514,0.8934256383924352,0.7631327061056087,0.8791528239202657,0.8849072479244894,0.7411586615389589,0.8677312997080439,0.8703313087749074
tce_zhao,0.3158995061158804,0.6636841100076394,0.4346907993966817,0.0788786566869065,0.5225999490705373,0.0888888888888888,0.1364392162067247,0.5590877259994907,0.2255050505050505,0.1025542402508256,0.5308250572956454,0.1333333333333333,0.33529451427396,0.6364877769289534,0.3863636363636363
toxic,0.7461182628394316,0.872925118153459,0.8730425428650971,0.7864542573262787,0.893109611599791,0.8942108472191457,0.7356453043662572,0.8630919387878058,0.8731460388253968,0.7354375629698353,0.8674960838655259,0.869608671829784,0.7545552572851654,0.8770681875995769,0.8786652533495086
toxic_PLPTP,0.7135353150088914,0.8584711001121332,0.7956287177119581,0.7589055134497021,0.8664550604262284,0.8221133568057397,0.6948511399839299,0.8585461372565888,0.7849400021823645,0.6677646958207641,0.8038104021781234,0.7401883014312605,0.7310717841728935,0.8545559671123323,0.8026436199131494
tumor_t_cell_antigens,0.2911048924646003,0.6439218672632356,0.7223881095625156,0.3033060259779335,0.6264902676862999,0.7685198212093017,0.20255267310228,0.5976498010951612,0.7062520419862086,0.2446308477134761,0.607136401339867,0.7459024243611433,0.2677668864789695,0.6246853171648407,0.7382011038752326
umami,0.4938089122478201,0.7412334113973458,0.6416842889183314,0.5522268919423168,0.7512529274004682,0.6624123954000586,0.4835118543914344,0.7277088212334114,0.6235433303756285,0.5026991760789838,0.7226268540202967,0.6159573225864786,0.5110732589546452,0.741783762685402,0.6466119314858811
